isin,sedol,cusip,bloomberg_ticker,currency,asset_class,exchange,settlement_days
GB00B0YTLJ59,B0YTLJ5,G3960C109,AZN LN,GBP,EQUITY,LSE,2
US0378331005,2046251,037833100,AAPL US,USD,EQUITY,NASDAQ,2
DE0005140008,5148006,DE0005140,DBK GR,EUR,EQUITY,XETRA,2
FR0000131104,4849601,FR0000131,BNP FP,EUR,EQUITY,EURONEXT,2
NL0010273215,BH4HKS3,NL0010273,ASML NA,EUR,EQUITY,EURONEXT,2
GB00B1YW4409,B1YW440,G5480U111,LLOY LN,GBP,EQUITY,LSE,2
US5949181045,2073390,594918104,MSFT US,USD,EQUITY,NASDAQ,2
DE000BAY0017,5478798,DE000BAY0,BAYN GR,EUR,EQUITY,XETRA,2
CH0012221716,7110388,CH0012221,NESN SW,CHF,EQUITY,SIX,2
IT0003128367,7108011,IT0003128,ENI IM,EUR,EQUITY,BORSA,2
ES0113211835,4172973,ES0113211,BBVA SM,EUR,EQUITY,BMEX,2
JP3633400001,6900643,JP3633400,7203 JT,JPY,EQUITY,TSE,2
US88160R1014,BYXZ778,88160R101,TSLA US,USD,EQUITY,NASDAQ,2
GB00BH4HKS39,BH4HKS3,G3981F108,HSBA LN,GBP,EQUITY,LSE,2
US4592001014,2090571,459200101,IBM US,USD,EQUITY,NYSE,2
DE0005552004,5552004,DE0005552,SAP GR,EUR,EQUITY,XETRA,2
LU0323578657,B29LN48,LU0323578,XTRMSCI LX,EUR,ETF,EURONEXT,2
IE00B4L5Y983,B4L5Y98,IE00B4L5Y,IWDA LN,EUR,ETF,LSE,2
XS0149080666,B149086,XS0149080,DB 5Y EUR,EUR,BOND,LSE,3
GB00B3X7QG63,B3X7QG6,G12994108,ULVR LN,GBP,EQUITY,LSE,2
US0231351067,2306701,023135106,AMZN US,USD,EQUITY,NASDAQ,2
